"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,215,"ESP","Spain",1,"Andalucía",1,"Almería","ES.AN.AM",NA,"04","Provincia","Province","",""
2,215,"ESP","Spain",1,"Andalucía",2,"Cádiz","ES.AN.CD",NA,"11","Provincia","Province","",""
3,215,"ESP","Spain",1,"Andalucía",3,"Córdoba","ES.AN.CO",NA,"14","Provincia","Province","",""
4,215,"ESP","Spain",1,"Andalucía",4,"Granada","ES.AN.GD",NA,"18","Provincia","Province","",""
5,215,"ESP","Spain",1,"Andalucía",5,"Huelva","ES.AN.HL",NA,"21","Provincia","Province","",""
6,215,"ESP","Spain",1,"Andalucía",6,"Jaén","ES.AN.JA",NA,"23","Provincia","Province","",""
7,215,"ESP","Spain",1,"Andalucía",7,"Málaga","ES.AN.MG",NA,"29","Provincia","Province","",""
8,215,"ESP","Spain",1,"Andalucía",8,"Sevilla","ES.AN.SV",NA,"41","Provincia","Province","",""
9,215,"ESP","Spain",2,"Aragón",9,"Huesca","ES.AR.HS",NA,"22","Provincia","Province","",""
10,215,"ESP","Spain",2,"Aragón",10,"Teruel","ES.AR.TE",NA,"44","Provincia","Province","",""
11,215,"ESP","Spain",2,"Aragón",11,"Zaragoza","ES.AR.ZG",NA,"31","Provincia","Province","",""
12,215,"ESP","Spain",2,"Aragón",11,"Zaragoza","ES.AR.ZG",NA,"50","Provincia","Province","",""
13,215,"ESP","Spain",3,"Cantabria",12,"Cantabria","ES.CB.CN",NA,"39","Provincia","Province","",""
14,215,"ESP","Spain",4,"Castilla-La Mancha",13,"Albacete","ES.CM.AB",NA,"02","Provincia","Province","",""
15,215,"ESP","Spain",4,"Castilla-La Mancha",14,"Ciudad Real","ES.CM.CR",NA,"13","Provincia","Province","",""
16,215,"ESP","Spain",4,"Castilla-La Mancha",15,"Cuenca","ES.CM.CU",NA,"16","Provincia","Province","",""
17,215,"ESP","Spain",4,"Castilla-La Mancha",16,"Guadalajara","ES.CM.GJ",NA,"19","Provincia","Province","",""
18,215,"ESP","Spain",4,"Castilla-La Mancha",17,"Toledo","ES.CM.TD",NA,"45","Provincia","Province","",""
19,215,"ESP","Spain",5,"Castilla y León",18,"Ávila","ES.CL.AV",NA,"05","Provincia","Province","",""
20,215,"ESP","Spain",5,"Castilla y León",19,"Burgos","ES.CL.BU",NA,"09","Provincia","Province","",""
21,215,"ESP","Spain",5,"Castilla y León",20,"León","ES.CL.LN",NA,"24","Provincia","Province","",""
22,215,"ESP","Spain",5,"Castilla y León",21,"Palencia","ES.CL.PL",NA,"34","Provincia","Province","",""
23,215,"ESP","Spain",5,"Castilla y León",22,"Salamanca","ES.CL.SL",NA,"37","Provincia","Province","",""
24,215,"ESP","Spain",5,"Castilla y León",23,"Segovia","ES.CL.SG",NA,"40","Provincia","Province","",""
25,215,"ESP","Spain",5,"Castilla y León",24,"Soria","ES.CL.SR",NA,"42","Provincia","Province","",""
26,215,"ESP","Spain",5,"Castilla y León",25,"Valladolid","ES.CL.VD",NA,"47","Provincia","Province","",""
27,215,"ESP","Spain",5,"Castilla y León",26,"Zamora","ES.CL.ZM",NA,"49","Provincia","Province","",""
28,215,"ESP","Spain",6,"Cataluña",27,"Barcelona","ES.CT.BR",NA,"08","Provincia","Province","",""
29,215,"ESP","Spain",6,"Cataluña",28,"Girona","ES.CT.GN",NA,"17","Provincia","Province","",""
30,215,"ESP","Spain",6,"Cataluña",29,"Lleida","ES.CT.LD",NA,"25","Provincia","Province","",""
31,215,"ESP","Spain",6,"Cataluña",30,"Tarragona","ES.CT.TG",NA,"43","Provincia","Province","",""
32,215,"ESP","Spain",7,"Ceuta y Melilla",31,"Ceuta","ES.CE.CE",NA,"51","Ciudad Autónoma","Autonomous City","",""
33,215,"ESP","Spain",7,"Ceuta y Melilla",32,"Melilla","ES.ML.ME",NA,"52","Ciudad Autónoma","Autonomous City","",""
34,215,"ESP","Spain",8,"Comunidad de Madrid",33,"Madrid","ES.MD.MD",NA,"28","Provincia","Province","",""
35,215,"ESP","Spain",9,"Comunidad Foral de Navarra",34,"Navarra","ES.NA.NV",NA,"31","Provincia","Province","",""
36,215,"ESP","Spain",10,"Comunidad Valenciana",35,"Alicante","ES.VC.AN",NA,"03","Provincia","Province","","Alacant"
37,215,"ESP","Spain",10,"Comunidad Valenciana",36,"Castellón","ES.VC.CS",NA,"12","Provincia","Province","","Castelló"
38,215,"ESP","Spain",10,"Comunidad Valenciana",37,"Valencia","ES.VC.VN",NA,"46","Provincia","Province","","València"
39,215,"ESP","Spain",11,"Extremadura",38,"Badajoz","ES.EX.BD",NA,"06","Provincia","Province","",""
40,215,"ESP","Spain",11,"Extremadura",39,"Cáceres","ES.EX.CC",NA,"10","Provincia","Province","",""
41,215,"ESP","Spain",12,"Galicia",40,"A Coruña","ES.GA.AC",NA,"15","Provincia","Province","","La Coruña"
42,215,"ESP","Spain",12,"Galicia",41,"Lugo","ES.GA.LG",NA,"27","Provincia","Province","",""
43,215,"ESP","Spain",12,"Galicia",42,"Ourense","ES.GA.OR",NA,"32","Provincia","Province","",""
44,215,"ESP","Spain",12,"Galicia",43,"Pontevedra","ES.GA.PV",NA,"36","Provincia","Province","",""
45,215,"ESP","Spain",13,"Islas Baleares",44,"Baleares","ES.PM.BL",NA,"07","Provincia","Province","",""
46,215,"ESP","Spain",14,"Islas Canarias",45,"Las Palmas","ES.CN.LP",NA,"35","Provincia","Province","",""
47,215,"ESP","Spain",14,"Islas Canarias",46,"Santa Cruz de Tenerife","ES.CN.LP",NA,"","Provincia","Province","",""
48,215,"ESP","Spain",14,"Islas Canarias",46,"Santa Cruz de Tenerife","ES.CN.LP",NA,"38","Provincia","Province","",""
49,215,"ESP","Spain",15,"La Rioja",47,"La Rioja","ES.LO.LR",NA,"09","Provincia","Province","",""
50,215,"ESP","Spain",15,"La Rioja",47,"La Rioja","ES.LO.LR",NA,"26","Provincia","Province","",""
51,215,"ESP","Spain",16,"País Vasco",48,"Álava","ES.PV.AA",NA,"01","Provincia","Province","","Araba"
52,215,"ESP","Spain",16,"País Vasco",48,"Álava","ES.PV.AA",NA,"48","Provincia","Province","","Araba"
53,215,"ESP","Spain",16,"País Vasco",49,"Guipúzcoa","ES.PV.GP",NA,"20","Provincia","Province","",""
54,215,"ESP","Spain",16,"País Vasco",50,"Vizcaya","ES.PV.VZ",NA,"48","Provincia","Province","",""
55,215,"ESP","Spain",17,"Principado de Asturias",51,"Asturias","ES.AS.AS",NA,"33","Provincia","Province","",""
56,215,"ESP","Spain",18,"Región de Murcia",52,"Murcia","ES.MU.MR",NA,"30","Provincia","Province","",""
