"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,215,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",NA,"","Comarca","Comarca","",""
2,215,"ESP","Spain",1,"Andalucía",1,"Almería",2,"n.a. (16)",NA,"","Comarca","Comarca","",""
3,215,"ESP","Spain",1,"Andalucía",1,"Almería",3,"n.a. (17)",NA,"","Comarca","Comarca","",""
4,215,"ESP","Spain",1,"Andalucía",1,"Almería",4,"n.a. (18)",NA,"","Comarca","Comarca","",""
5,215,"ESP","Spain",1,"Andalucía",1,"Almería",5,"n.a. (19)",NA,"","Comarca","Comarca","",""
6,215,"ESP","Spain",1,"Andalucía",1,"Almería",6,"n.a. (20)",NA,"","Comarca","Comarca","",""
7,215,"ESP","Spain",1,"Andalucía",1,"Almería",7,"n.a. (21)",NA,"","Comarca","Comarca","",""
8,215,"ESP","Spain",1,"Andalucía",1,"Almería",8,"n.a. (22)",NA,"","Comarca","Comarca","",""
9,215,"ESP","Spain",1,"Andalucía",2,"Cádiz",9,"Bahía de Cádiz",NA,"","Comarca","Comarca","",""
10,215,"ESP","Spain",1,"Andalucía",2,"Cádiz",10,"Campiña de Jerez",NA,"","Comarca","Comarca","",""
11,215,"ESP","Spain",1,"Andalucía",2,"Cádiz",11,"Campo de Gibraltar",NA,"","Comarca","Comarca","",""
12,215,"ESP","Spain",1,"Andalucía",2,"Cádiz",12,"Costa Noroeste",NA,"","Comarca","Comarca","",""
13,215,"ESP","Spain",1,"Andalucía",2,"Cádiz",13,"La Janda",NA,"","Comarca","Comarca","",""
14,215,"ESP","Spain",1,"Andalucía",2,"Cádiz",14,"Sierra de Cádiz",NA,"","Comarca","Comarca","",""
15,215,"ESP","Spain",1,"Andalucía",3,"Córdoba",15,"Campiña Sur",NA,"","Comarca","Comarca","",""
16,215,"ESP","Spain",1,"Andalucía",3,"Córdoba",16,"n.a. (86)",NA,"","Comarca","Comarca","",""
17,215,"ESP","Spain",1,"Andalucía",3,"Córdoba",17,"n.a. (87)",NA,"","Comarca","Comarca","",""
18,215,"ESP","Spain",1,"Andalucía",3,"Córdoba",18,"n.a. (88)",NA,"","Comarca","Comarca","",""
19,215,"ESP","Spain",1,"Andalucía",3,"Córdoba",19,"n.a. (89)",NA,"","Comarca","Comarca","",""
20,215,"ESP","Spain",1,"Andalucía",3,"Córdoba",20,"n.a. (90)",NA,"","Comarca","Comarca","",""
21,215,"ESP","Spain",1,"Andalucía",3,"Córdoba",21,"n.a. (91)",NA,"","Comarca","Comarca","",""
22,215,"ESP","Spain",1,"Andalucía",3,"Córdoba",22,"n.a. (92)",NA,"","Comarca","Comarca","",""
23,215,"ESP","Spain",1,"Andalucía",4,"Granada",23,"n.a. (109)",NA,"","Comarca","Comarca","",""
24,215,"ESP","Spain",1,"Andalucía",4,"Granada",24,"n.a. (110)",NA,"","Comarca","Comarca","",""
25,215,"ESP","Spain",1,"Andalucía",4,"Granada",25,"n.a. (111)",NA,"","Comarca","Comarca","",""
26,215,"ESP","Spain",1,"Andalucía",4,"Granada",26,"n.a. (112)",NA,"","Comarca","Comarca","",""
27,215,"ESP","Spain",1,"Andalucía",4,"Granada",27,"n.a. (113)",NA,"","Comarca","Comarca","",""
28,215,"ESP","Spain",1,"Andalucía",4,"Granada",28,"n.a. (114)",NA,"","Comarca","Comarca","",""
29,215,"ESP","Spain",1,"Andalucía",4,"Granada",29,"n.a. (115)",NA,"","Comarca","Comarca","",""
